Россия Япония Украина Австралия Бразилия Греция Дания Египет Канада
50 50
0 0 Ocean
0 1 Ocean
0 2 Ocean
0 3 Ocean
0 4 Ocean
0 5 Ocean
0 6 Ocean
0 7 Ocean
0 8 Tundra
0 9 Tundra
0 10 Tundra
0 11 Tundra
0 12 Tundra
0 13 Tundra
0 14 Tundra
0 15 Tundra
0 16 Tundra
0 17 Tundra
0 18 Tundra
0 19 Tundra
0 20 Tundra
0 21 Tundra
0 22 Meadow
0 23 Meadow
0 24 Meadow
0 25 Meadow
0 26 Meadow
0 27 Meadow
0 28 Meadow
0 29 Meadow
0 30 Meadow
0 31 Meadow
0 32 Meadow
0 33 Meadow
0 34 Meadow
0 35 Meadow
0 36 Meadow
0 37 Meadow
0 38 Meadow
0 39 Meadow
0 40 Meadow
0 41 Meadow
0 42 Meadow
0 43 Meadow
0 44 Meadow
0 45 Meadow
0 46 Meadow
0 47 Forest
0 48 Forest
0 49 Forest
1 0 Ocean
1 1 Ocean
1 2 Ocean
1 3 Ocean
1 4 Ocean
1 5 Ocean
1 6 Ocean
1 7 Ocean
1 8 Ocean
1 9 Tundra
1 10 Ocean
1 11 Tundra
1 12 Tundra
1 13 Tundra
1 14 Tundra
1 15 Tundra
1 16 Tundra
1 17 Tundra
1 18 Tundra
1 19 Tundra
1 20 Tundra
1 21 Meadow
1 22 Meadow
1 23 Meadow
1 24 Meadow
1 25 Meadow
1 26 Meadow
1 27 Meadow
1 28 Meadow
1 29 Meadow
1 30 Meadow
1 31 Meadow
1 32 Meadow
1 33 Meadow
1 34 Meadow
1 35 Meadow
1 36 Meadow
1 37 Meadow
1 38 Meadow
1 39 Meadow
1 40 Meadow
1 41 Meadow
1 42 Meadow
1 43 Meadow
1 44 Forest
1 45 Meadow
1 46 Forest
1 47 Forest
1 48 Forest
1 49 Forest
2 0 Ocean
2 1 Ocean
2 2 Ocean
2 3 Ocean
2 4 Ocean
2 5 Ocean
2 6 Ocean
2 7 Ocean
2 8 Ocean
2 9 Ocean
2 10 Ocean
2 11 Tundra
2 12 Tundra
2 13 Tundra
2 14 Tundra
2 15 Tundra
2 16 Tundra
2 17 Tundra
2 18 Tundra
2 19 Tundra
2 20 Tundra
2 21 Meadow
2 22 Meadow
2 23 Meadow
2 24 Meadow
2 25 Meadow
2 26 Meadow
2 27 Meadow
2 28 Meadow
2 29 Meadow
2 30 Meadow
2 31 Meadow
2 32 Meadow
2 33 Meadow
2 34 Meadow
2 35 Meadow
2 36 Meadow
2 37 Meadow
2 38 Meadow
2 39 Meadow
2 40 Meadow
2 41 Meadow
2 42 Forest
2 43 Forest
2 44 Forest
2 45 Forest
2 46 Forest
2 47 Forest
2 48 Forest
2 49 Forest
3 0 Ocean
3 1 Ocean
3 2 Ocean
3 3 Ocean
3 4 Ocean
3 5 Ocean
3 6 Ocean
3 7 Ocean
3 8 Ocean
3 9 Ocean
3 10 Ocean
3 11 Ocean
3 12 Ocean
3 13 Ocean
3 14 Ocean
3 15 Tundra
3 16 Tundra
3 17 Tundra
3 18 Tundra
3 19 Tundra
3 20 Tundra
3 21 Meadow
3 22 Meadow
3 23 Meadow
3 24 Meadow
3 25 Meadow
3 26 Meadow
3 27 Meadow
3 28 Meadow
3 29 Meadow
3 30 Meadow
3 31 Meadow
3 32 Meadow
3 33 Meadow
3 34 Meadow
3 35 Meadow
3 36 Meadow
3 37 Meadow
3 38 Meadow
3 39 Meadow
3 40 Meadow
3 41 Forest
3 42 Forest
3 43 Forest
3 44 Forest
3 45 Forest
3 46 Forest
3 47 Forest
3 48 Forest
3 49 Forest
4 0 Ocean
4 1 Ocean
4 2 Ocean
4 3 Ocean
4 4 Ocean
4 5 Ocean
4 6 Ocean
4 7 Ocean
4 8 Ocean
4 9 Ocean
4 10 Ocean
4 11 Ocean
4 12 Ocean
4 13 Ocean
4 14 Ocean
4 15 Tundra
4 16 Tundra
4 17 Tundra
4 18 Ocean
4 19 Tundra
4 20 Meadow
4 21 Meadow
4 22 Meadow
4 23 Meadow
4 24 Meadow
4 25 Meadow
4 26 Meadow
4 27 Meadow
4 28 Meadow
4 29 Meadow
4 30 Meadow
4 31 Meadow
4 32 Meadow
4 33 Meadow
4 34 Meadow
4 35 Meadow
4 36 Meadow
4 37 Meadow
4 38 Meadow
4 39 Meadow
4 40 Forest
4 41 Forest
4 42 Forest
4 43 Forest
4 44 Forest
4 45 Forest
4 46 Forest
4 47 Forest
4 48 Forest
4 49 Forest
5 0 Ocean
5 1 Ocean
5 2 Ocean
5 3 Ocean
5 4 Ocean
5 5 Ocean
5 6 Ocean
5 7 Ocean
5 8 Ocean
5 9 Ocean
5 10 Ocean
5 11 Ocean
5 12 Ocean
5 13 Ocean
5 14 Ocean
5 15 Ocean
5 16 Ocean
5 17 Ocean
5 18 Ocean
5 19 Tundra
5 20 Meadow
5 21 Meadow
5 22 Meadow
5 23 Meadow
5 24 Meadow
5 25 Meadow
5 26 Meadow
5 27 Meadow
5 28 Meadow
5 29 Meadow
5 30 Forest
5 31 Meadow
5 32 Meadow
5 33 Meadow
5 34 Meadow
5 35 Forest
5 36 Forest
5 37 Forest
5 38 Forest
5 39 Forest
5 40 Forest
5 41 Forest
5 42 Forest
5 43 Forest
5 44 Forest
5 45 Forest
5 46 Forest
5 47 Forest
5 48 Forest
5 49 Forest
6 0 Ocean
6 1 Ocean
6 2 Ocean
6 3 Ocean
6 4 Ocean
6 5 Ocean
6 6 Ocean
6 7 Ocean
6 8 Ocean
6 9 Ocean
6 10 Ocean
6 11 Ocean
6 12 Ocean
6 13 Ocean
6 14 Ocean
6 15 Ocean
6 16 Ocean
6 17 Ocean
6 18 Ocean
6 19 Ocean
6 20 Ocean
6 21 Meadow
6 22 Meadow
6 23 Meadow
6 24 Meadow
6 25 Meadow
6 26 Meadow
6 27 Forest
6 28 Forest
6 29 Meadow
6 30 Forest
6 31 Meadow
6 32 Forest
6 33 Meadow
6 34 Forest
6 35 Forest
6 36 Forest
6 37 Forest
6 38 Forest
6 39 Forest
6 40 Forest
6 41 Forest
6 42 Forest
6 43 Forest
6 44 Forest
6 45 Forest
6 46 Forest
6 47 Forest
6 48 Forest
6 49 Forest
7 0 Ocean
7 1 Ocean
7 2 Ocean
7 3 Ocean
7 4 Ocean
7 5 Ocean
7 6 Ocean
7 7 Ocean
7 8 Ocean
7 9 Ocean
7 10 Ocean
7 11 Ocean
7 12 Ocean
7 13 Ocean
7 14 Ocean
7 15 Ocean
7 16 Ocean
7 17 Ocean
7 18 Ocean
7 19 Ocean
7 20 Ocean
7 21 Meadow
7 22 Forest
7 23 Meadow
7 24 Forest
7 25 Meadow
7 26 Forest
7 27 Forest
7 28 Forest
7 29 Forest
7 30 Forest
7 31 Forest
7 32 Forest
7 33 Forest
7 34 Forest
7 35 Forest
7 36 Forest
7 37 Forest
7 38 Forest
7 39 Forest
7 40 Forest
7 41 Forest
7 42 Forest
7 43 Forest
7 44 Forest
7 45 Forest
7 46 Forest
7 47 Forest
7 48 Forest
7 49 Forest
8 0 Ocean
8 1 Ocean
8 2 Ocean
8 3 Ocean
8 4 Ocean
8 5 Ocean
8 6 Ocean
8 7 Ocean
8 8 Ocean
8 9 Ocean
8 10 Ocean
8 11 Ocean
8 12 Ocean
8 13 Ocean
8 14 Ocean
8 15 Ocean
8 16 Ocean
8 17 Ocean
8 18 Ocean
8 19 Ocean
8 20 Ocean
8 21 Forest
8 22 Forest
8 23 Forest
8 24 Forest
8 25 Forest
8 26 Forest
8 27 Forest
8 28 Forest
8 29 Forest
8 30 Forest
8 31 Forest
8 32 Forest
8 33 Forest
8 34 Forest
8 35 Forest
8 36 Forest
8 37 Forest
8 38 Forest
8 39 Forest
8 40 Forest
8 41 Forest
8 42 Forest
8 43 Forest
8 44 Forest
8 45 Forest
8 46 Forest
8 47 Forest
