Россия, Украина
30 60
0 0 Desert
0 1 Desert
0 2 Desert
0 3 Desert
0 4 Desert
0 5 Desert
0 6 Desert
0 7 Desert
0 8 Desert
0 9 Desert
0 10 Desert
0 11 Desert
0 12 Desert
0 13 Desert
0 14 Desert
0 15 Desert
0 16 Desert
0 17 Desert
0 18 Desert
0 19 Desert
0 20 Desert
0 21 Desert
0 22 Desert
0 23 Desert
0 24 Ocean
0 25 Ocean
0 26 Ocean
0 27 Ocean
0 28 Ocean
0 29 Ocean
0 30 Ocean
0 31 Ocean
0 32 Ocean
0 33 Ocean
0 34 Ocean
0 35 Forest
0 36 Forest
0 37 Forest
0 38 Forest
0 39 Forest
0 40 Forest
0 41 Forest
0 42 Forest
0 43 Forest
0 44 Forest
0 45 Meadow
0 46 Meadow
0 47 Meadow
0 48 Meadow
0 49 Meadow
0 50 Meadow
0 51 Meadow
0 52 Meadow
0 53 Meadow
0 54 Meadow
0 55 Meadow
0 56 Meadow
0 57 Meadow
0 58 Meadow
0 59 Meadow
1 0 Desert
1 1 Desert
1 2 Desert
1 3 Desert
1 4 Desert
1 5 Desert
1 6 Desert
1 7 Desert
1 8 Desert
1 9 Desert
1 10 Desert
1 11 Desert
1 12 Desert
1 13 Desert
1 14 Desert
1 15 Desert
1 16 Desert
1 17 Desert
1 18 Desert
1 19 Desert
1 20 Desert
1 21 Desert
1 22 Ocean
1 23 Ocean
1 24 Ocean
1 25 Ocean
1 26 Ocean
1 27 Ocean
1 28 Ocean
1 29 Ocean
1 30 Ocean
1 31 Ocean
1 32 Ocean
1 33 Ocean
1 34 Ocean
1 35 Forest
1 36 Forest
1 37 Forest
1 38 Forest
1 39 Forest
1 40 Forest
1 41 Forest
1 42 Forest
1 43 Forest
1 44 Forest
1 45 Forest
1 46 Forest
1 47 Meadow
1 48 Meadow
1 49 Meadow
1 50 Meadow
1 51 Meadow
1 52 Meadow
1 53 Meadow
1 54 Meadow
1 55 Meadow
1 56 Meadow
1 57 Meadow
1 58 Meadow
1 59 Meadow
2 0 Desert
2 1 Desert
2 2 Desert
2 3 Desert
2 4 Desert
2 5 Desert
2 6 Desert
2 7 Desert
2 8 Desert
2 9 Desert
2 10 Desert
2 11 Desert
2 12 Desert
2 13 Desert
2 14 Desert
2 15 Desert
2 16 Desert
2 17 Desert
2 18 Desert
2 19 Desert
2 20 Desert
2 21 Desert
2 22 Ocean
2 23 Ocean
2 24 Ocean
2 25 Ocean
2 26 Ocean
2 27 Ocean
2 28 Ocean
2 29 Ocean
2 30 Ocean
2 31 Ocean
2 32 Ocean
2 33 Ocean
2 34 Ocean
2 35 Ocean
2 36 Forest
2 37 Forest
2 38 Forest
2 39 Forest
2 40 Forest
2 41 Forest
2 42 Forest
2 43 Forest
2 44 Forest
2 45 Forest
2 46 Forest
2 47 Meadow
2 48 Meadow
2 49 Meadow
2 50 Meadow
2 51 Meadow
2 52 Meadow
2 53 Meadow
2 54 Meadow
2 55 Meadow
2 56 Meadow
2 57 Meadow
2 58 Meadow
2 59 Meadow
3 0 Desert
3 1 Desert
3 2 Desert
3 3 Desert
3 4 Desert
3 5 Desert
3 6 Desert
3 7 Desert
3 8 Desert
3 9 Desert
3 10 Desert
3 11 Desert
3 12 Desert
3 13 Desert
3 14 Desert
3 15 Desert
3 16 Desert
3 17 Desert
3 18 Desert
3 19 Desert
3 20 Desert
3 21 Desert
3 22 Ocean
3 23 Ocean
3 24 Ocean
3 25 Ocean
3 26 Ocean
3 27 Ocean
3 28 Ocean
3 29 Ocean
3 30 Ocean
3 31 Ocean
3 32 Ocean
3 33 Ocean
3 34 Ocean
3 35 Ocean
3 36 Forest
3 37 Forest
3 38 Forest
3 39 Forest
3 40 Forest
3 41 Forest
3 42 Forest
3 43 Forest
3 44 Forest
3 45 Forest
3 46 Meadow
3 47 Meadow
3 48 Meadow
3 49 Meadow
3 50 Meadow
3 51 Meadow
3 52 Meadow
3 53 Meadow
3 54 Meadow
3 55 Meadow
3 56 Meadow
3 57 Meadow
3 58 Meadow
3 59 Meadow
4 0 Desert
4 1 Desert
4 2 Desert
4 3 Desert
4 4 Desert
4 5 Desert
4 6 Desert
4 7 Desert
4 8 Desert
4 9 Desert
4 10 Desert
4 11 Desert
4 12 Desert
4 13 Desert
4 14 Desert
4 15 Desert
4 16 Desert
4 17 Desert
4 18 Desert
4 19 Desert
4 20 Desert
4 21 Ocean
4 22 Ocean
4 23 Ocean
4 24 Ocean
4 25 Ocean
4 26 Ocean
4 27 Ocean
4 28 Ocean
4 29 Ocean
4 30 Ocean
4 31 Ocean
4 32 Ocean
4 33 Ocean
4 34 Ocean
4 35 Ocean
4 36 Forest
4 37 Forest
4 38 Forest
4 39 Forest
4 40 Forest
4 41 Forest
4 42 Forest
4 43 Forest
4 44 Forest
4 45 Forest
4 46 Meadow
4 47 Meadow
4 48 Meadow
4 49 Meadow
4 50 Meadow
4 51 Meadow
4 52 Meadow
4 53 Meadow
4 54 Meadow
4 55 Meadow
4 56 Meadow
4 57 Meadow
4 58 Meadow
4 59 Meadow
5 0 Desert
5 1 Desert
5 2 Desert
5 3 Desert
5 4 Desert
5 5 Desert
5 6 Desert
5 7 Desert
5 8 Desert
5 9 Desert
5 10 Desert
5 11 Desert
5 12 Desert
5 13 Desert
5 14 Desert
5 15 Desert
5 16 Desert
5 17 Desert
5 18 Desert
5 19 Desert
5 20 Ocean
5 21 Ocean
5 22 Ocean
5 23 Ocean
5 24 Ocean
5 25 Ocean
5 26 Ocean
5 27 Ocean
5 28 Ocean
5 29 Ocean
5 30 Ocean
5 31 Ocean
5 32 Ocean
5 33 Ocean
5 34 Ocean
5 35 Ocean
5 36 Forest
5 37 Forest
5 38 Forest
5 39 Forest
5 40 Forest
5 41 Forest
5 42 Forest
5 43 Forest
5 44 Forest
5 45 Forest
5 46 Meadow
5 47 Meadow
5 48 Meadow
5 49 Meadow
5 50 Meadow
5 51 Meadow
5 52 Meadow
5 53 Meadow
5 54 Meadow
5 55 Meadow
5 56 Meadow
5 57 Meadow
5 58 Meadow
5 59 Meadow
6 0 Desert
6 1 Desert
6 2 Desert
6 3 Desert
6 4 Desert
6 5 Desert
6 6 Desert
6 7 Desert
6 8 Desert
6 9 Desert
6 10 Desert
6 11 Desert
6 12 Desert
6 13 Desert
6 14 Desert
6 15 Desert
6 16 Desert
6 17 Desert
6 18 Desert
6 19 Desert
6 20 Ocean
6 21 Ocean
6 22 Ocean
6 23 Ocean
6 24 Ocean
6 25 Ocean
6 26 Ocean
6 27 Ocean
6 28 Ocean
6 29 Ocean
6 30 Ocean
6 31 Ocean
6 32 Ocean
6 33 Ocean
6 34 Forest
6 35 Forest
6 36 Forest
6 37 Forest
6 38 Forest
6 39 Forest
6 40 Forest
6 41 Forest
6 42 Forest
6 43 Forest
6 44 Forest
6 45 Meadow
6 46 Meadow
6 47 Meadow
6 48 Meadow
6 49 Meadow
6 50 Meadow
6 51 Meadow
6 52 Meadow
6 53 Meadow
6 54 Meadow
6 55 Meadow
6 56 Meadow
6 57 Meadow
6 58 Meadow
6 59 Meadow
7 0 Desert
7 1 Desert
7 2 Desert
7 3 Desert
7 4 Desert
7 5 Desert
7 6 Desert
7 7 Desert
7 8 Desert
7 9 Desert
7 10 Desert
7 11 Desert
7 12 Desert
7 13 Desert
7 14 Desert
7 15 Desert
7 16 Desert
7 17 Desert
7 18 Ocean
7 19 Ocean
7 20 Ocean
7 21 Ocean
7 22 Ocean
7 23 Ocean
7 24 Ocean
7 25 Ocean
7 26 Ocean
7 27 Ocean
7 28 Ocean
7 29 Ocean
7 30 Ocean
7 31 Ocean
7 32 Ocean
7 33 Ocean
7 34 Forest
7 35 Forest
7 36 Forest
7 37 Forest
7 38 Forest
7 39 Forest
7 40 Forest
7 41 Forest
7 42 Forest
7 43 Forest
7 44 Forest
7 45 Meadow
7 46 Forest
7 47 Meadow
7 48 Meadow
7 49 Meadow
7 50 Meadow
7 51 Meadow
7 52 Meadow
7 53 Meadow
7 54 Meadow
7 55 Meadow
7 56 Meadow
7 57 Meadow
7 58 Meadow
7 59 Meadow
8 0 Desert
8 1 Desert
8 2 Desert
8 3 Desert
8 4 Desert
8 5 Desert
8 6 Desert
8 7 Desert
8 8 Desert
8 9 Desert
8 10 Desert
8 11 Desert
8 12 Desert
8 13 Desert
8 14 Desert
8 15 Desert
8 16 Desert
8 17 Ocean
8 18 Ocean
8 19 Ocean
8 20 Ocean
8 21 Ocean
8 22 Ocean
8 23 Ocean
8 24 Ocean
8 25 Ocean
8 26 Ocean
8 27 Ocean
8 28 Ocean
8 29 Ocean
8 30 Ocean
8 31 Ocean
8 32 Ocean
8 33 Forest
8 34 Forest
8 35 Forest
8 36 Forest
8 37 Forest
8 38 Forest
8 39 Forest
8 40 Forest
8 41 Forest
8 42 Forest
8 43 Forest
8 44 Forest
8 45 Forest
8 46 Forest
8 47 Meadow
8 48 Meadow
8 49 Meadow
8 50 Meadow
8 51 Meadow
8 52 Meadow
8 53 Meadow
8 54 Meadow
8 55 Meadow
8 56 Meadow
8 57 Meadow
8 58 Meadow
8 59 Meadow
9 0 Tundra
9 1 Desert
9 2 Tundra
9 3 Desert
9 4 Desert
9 5 Desert
9 6 Desert
9 7 Desert
9 8 Desert
9 9 Desert
9 10 Desert
9 11 Desert
9 12 Desert
9 13 Desert
9 14 Desert
9 15 Desert
9 16 Ocean
9 17 Ocean
9 18 Ocean
9 19 Ocean
9 20 Ocean
9 21 Ocean
9 22 Ocean
9 23 Ocean
9 24 Ocean
9 25 Ocean
9 26 Ocean
9 27 Ocean
9 28 Ocean
9 29 Ocean
9 30 Ocean
9 31 Ocean
9 32 Ocean
9 33 Forest
9 34 Forest
9 35 Forest
9 36 Forest
9 37 Forest
9 38 Forest
9 39 Forest
9 40 Forest
9 41 Forest
9 42 Forest
9 43 Forest
9 44 Forest
9 45 Forest
9 46 Forest
9 47 Forest
9 48 Meadow
9 49 Meadow
9 50 Meadow
9 51 Meadow
9 52 Meadow
9 53 Meadow
9 54 Meadow
9 55 Meadow
9 56 Meadow
9 57 Meadow
9 58 Meadow
9 59 Meadow
10 0 Tundra
10 1 Tundra
10 2 Tundra
10 3 Desert
10 4 Tundra
10 5 Desert
10 6 Desert
10 7 Desert
10 8 Tundra
10 9 Desert
10 10 Tundra
10 11 Desert
10 12 Desert
10 13 Desert
10 14 Desert
10 15 Ocean
10 16 Ocean
10 17 Ocean
10 18 Ocean
10 19 Ocean
10 20 Ocean
10 21 Ocean
10 22 Ocean
10 23 Ocean
10 24 Ocean
10 25 Ocean
10 26 Ocean
10 27 Ocean
10 28 Ocean
10 29 Ocean
10 30 Ocean
10 31 Ocean
10 32 Forest
10 33 Forest
10 34 Forest
10 35 Forest
10 36 Forest
10 37 Forest
10 38 Forest
10 39 Forest
10 40 Forest
10 41 Forest
10 42 Forest
10 43 Forest
10 44 Forest
10 45 Forest
10 46 Forest
10 47 Meadow
10 48 Meadow
10 49 Meadow
10 50 Meadow
10 51 Meadow
10 52 Meadow
10 53 Meadow
